title;abstract;publication_year;authors;doi;content_type;issn;isbn
Workload management for Big Data analytics;Parallel database systems and MapReduce systems are essential components of today's infrastructure for Big Data analytics. These systems process multiple concurrent workloads consisting of complex user requests, where each request is associated with an (explicit or implicit) service level objective.;2013;Ashraf Aboulnaga;10.1109/ICDE.2013.6544915;Conferences;1063-6382;978-1-4673-4908-6
Very fast estimation for result and accuracy of big data analytics: The EARL system;Approximate results based on samples often provide the only way in which advanced analytical applications on very massive data sets (a.k.a. `big data') can satisfy their time and resource constraints. Unfortunately, methods and tools for the computation of accurate early results are currently not supported in big data systems (e.g., Hadoop). Therefore, we propose a nonparametric accuracy estimation method and system to speedup big data analytics. Our framework is called EARL (Early Accurate Result Library) and it works by predicting the learning curve and choosing the appropriate sample size for achieving the desired error bound specified by the user. The error estimates are based on a technique called bootstrapping that has been widely used and validated by statisticians, and can be applied to arbitrary functions and data distributions. Therefore, this demo will elucidate (a) the functionality of EARL and its intuitive GUI interface whereby first-time users can appreciate the accuracy obtainable from increasing sample sizes by simply viewing the learning curve displayed by EARL, (b) the usability of EARL, whereby conference participants can interact with the system to quickly estimate the sample sizes needed to obtain the desired accuracies or response times, and then compare them against the accuracies and response times obtained in the actual computations.;2013;Nikolay Laptev;10.1109/ICDE.2013.6544928;Conferences;1063-6382;978-1-4673-4908-6
Towards an Optimized Big Data Processing System;Scalable by design to very large computing systems such as grids and clouds, MapReduce is currently a major big data processing paradigm. Nevertheless, existing performance models for MapReduce only comply with specific workloads that process a small fraction of the entire data set, thus failing to assess the capabilities of the MapReduce paradigm under heavy workloads that process exponentially increasing data volumes. The goal of my PhD is to build and analyze a scalable and dynamic big data processing system, including storage (distributed file system), execution engine (MapReduce), and query language (Pig). My contributions for the first two years of PhD research are the following: 1) the design and implementation of a resource management system part of a MapReduce-based processing system for deploying and resizing MapReduce clusters over multicluster systems, 2) the design and implementation of a benchmarking tool for the MapReduce processing system, and 3) the evaluation and modeling of MapReduce using workloads with very large data sets. Furthermore, based on the first two years research, we will optimize the MapReduce system to efficiently process terabytes of data.;2013;Bogdan Ghit;10.1109/CCGrid.2013.53;Conferences;;978-1-4673-6465-2
A Holistic Architecture for the Internet of Things, Sensing Services and Big Data;Wireless Sensor Networks (WSNs) increasingly enable the interaction of the physical world with services, which may be located across the Internet from the sensing network. Cloud services and big data approaches may be used to store and analyse this data to improve scalability and availability, which will be required for the billions of devices envisaged in the Internet of Things (IoT). This potential of WSNs is limited by the relatively low number deployed and the difficulties imposed by their heterogeneous nature and limited (or proprietary) development environments and interfaces. This paper proposes a set of requirements for achieving a pervasive, integrated information system of WSNs and associated services. It also presents an architecture which provides a set of abstractions for the different types of sensors and services, enabling them to take advantage of Big Data and cloud technologies and which is termed holistic as it caters for the data flow from sensors through to services. The architecture has been designed for implementation on a resource constrained node and to be extensible to server environments, shown in this paper where we present a 'C' implementation of the core architecture, including services on Linux and Contiki (using the Constrained Application Protocol (CoAP)) and a Linux service to integrate with the Hadoop HBase data store.;2013;David Tracey;10.1109/CCGrid.2013.100;Conferences;;978-1-4673-6465-2
Getting an Intuition for Big Data;"IEEE Software Editor-in-Chief Forrest Shull discusses the importance of building reliable systems to interpret big data. In addition, he discusses the IBM Impact 2013 Unconference; the Software Engineering Institute's SATURN 2013 conference in which the IEEE Software Architecture in Practice Award went to Simon Brown of Coding the Architecture, for his presentation titled ""The Conflict between Agile and Architecture: Myth or Reality"" and the IEEE Software New Directions Award went to Darryl Nelson of Raytheon for his presentation titled, ""Next-Gen Web Architecture for the Cloud Era."" He also welcomes Professor Rafael Prikladnicki of the Computer Science School at PUCRS, Brazil, and Chief Software Economist Walker Royce of IBM's Software Group to the IEEE Software Advisory Board. The first Web extra at http://youtu.be/JrQorWS5m6w is a video interview in which IEEE Software editor in chief Forrest Shull speaks with Paul Zikopoulos, Director--IBM Information Management Technical Professionals, Competitive Database, and Big Data at IBM, about the potentials of mining big data. Zikopoulos will deliver a keynote at Software Experts Summit 2013 on 17 July in Redmond, Washington. The second Web extra at http://youtu.be/NHHThAeONv8 is a video interview in which IEEE Software editor in chief Forrest Shull speaks with Catherine Plaisant and Megan Monroe of the University of Maryland Human-Computer Interaction Laboratory about big data information visualization and its applications to software development. The third Web extra at http://youtu.be/NqXE0ewoTKA is a video overview of the IBM Impact 2013 Unconference, sponsored by IEEE Software magazine, an event specifically designed for developers that featured Grady Booch and Tim O'Reilly as keynote speakers.";2013;Forrest Shull;10.1109/MS.2013.76;Magazines;1937-4194;
Rock Stars of Big Data Advertisement;Rock Stars of Big Data Advertisement;2013;;10.1109/MS.2013.84;Magazines;1937-4194;
Data mining with big data;Big Data concern large-volume, complex, growing data sets with multiple, autonomous sources. With the fast development of networking, data storage, and the data collection capacity, Big Data are now rapidly expanding in all science and engineering domains, including physical, biological and biomedical sciences. This paper presents a HACE theorem that characterizes the features of the Big Data revolution, and proposes a Big Data processing model, from the data mining perspective. This data-driven model involves demand-driven aggregation of information sources, mining and analysis, user interest modeling, and security and privacy considerations. We analyze the challenging issues in the data-driven model and also in the Big Data revolution.;2014;Xindong Wu;10.1109/TKDE.2013.109;Journals;2326-3865;
Big Data Analytics: Perspective Shifting from Transactions to Ecosystems;Understanding the flow and interrelated nature of institutions and business entities' processes and exchanges helps researchers develop and apply big data analytics techniques more effectively from an ecosystem-based perspective (rather than individual transactions and components).;2013;Daniel Zeng;10.1109/MIS.2013.40;Magazines;1941-1294;
Artificial Intelligence and Big Data;AI Innovation in Industry is a new department for IEEE Intelligent Systems, and this paper examines some of the basic concerns and uses of AI for big data (AI has been used in several different ways to facilitate capturing and structuring big data, and it has been used to analyze big data for key insights).;2013;;10.1109/MIS.2013.39;Magazines;1941-1294;
Big data analysis of irregular operations: Aborted approaches and their underlying factors;Procedures such as Missed Approaches and Holding Patterns are designed into Air Traffic Control procedures to provide a safe manner for flights to temporarily exit the airspace or the traffic flow when irregular operations occur. These procedures serve as “pressure release valves” and in this way are symptoms of the occurrence of infrequent phenomena that impact efficiency and safety margins. The occurrence of these procedures is not currently tracked by airlines or Air Navigation Service Providers (ANSP) due to the inability to identify these situations using the existing time-stamped event data (i.e. OOOI data) that is the basis for NAS performance analysis today. This paper describes a Big Data analysis of surveillance track data to establish the frequency of occurrence of Aborted Approaches, and an analysis of voluntary pilot/air traffic controller reports to establish factors leading to Aborted Approaches. Aborted Approaches include a Go Around for a Missed Approach as well as a turn off the final approach segment prior to the Missed Approach Point (MAP). Analysis of 21 days of surveillance track data for approaches at ORD identified a 7.4 in 1000 frequency of approaches resulting in an Aborted Approach. Daily Aborted Approaches ranged from 0 per day to 21 per 1000 approaches per day. Eighty percent of the Aborted Approaches involved a turn off the final approach segment prior to the MAP. An analysis of 467 voluntary pilot/air traffic controller reports from all U.S. airports identified factors leading to aborted approaches: (1) 48% airplane issues (e.g. onboard failure, unstable approach), (2) 27% traffic separation issues, (3) 16% weather (e.g. ceiling, visibility, crosswind), (4) 5% runway issues, and (5) 4% flightcrew-ATC interaction issues. These results suggest mitigation strategies to reduce the high variance in daily occurrences through procedure modification, training and equipment design.;2013;Lance Sherry;10.1109/ICNSurv.2013.6548548;Conferences;2155-4943;978-1-4673-6252-8
Cross-platform aviation analytics using big-data methods;This paper identifies key aviation data sets for operational analytics, presents a methodology for application of big-data analysis methods to operational problems, and offers examples of analytical solutions using an integrated aviation data warehouse. Big-data analysis methods have revolutionized how both government and commercial researchers can analyze massive aviation databases that were previously too cumbersome, inconsistent or irregular to drive high-quality output. Traditional data-mining methods are effective on uniform data sets such as flight tracking data or weather. Integrating heterogeneous data sets introduces complexity in data standardization, normalization, and scalability. The variability of underlying data warehouse can be leveraged using virtualized cloud infrastructure for scalability to identify trends and create actionable information. The applications for big-data analysis in airspace system performance and safety optimization have high potential because of the availability and diversity of airspace related data. Analytical applications to quantitatively review airspace performance, operational efficiency and aviation safety require a broad data set. Individual information sets such as radar tracking data or weather reports provide slices of relevant data, but do not provide the required context, perspective and detail on their own to create actionable knowledge. These data sets are published by diverse sources and do not have the standardization, uniformity or defect controls required for simple integration and analysis. At a minimum, aviation big-data research requires the fusion of airline, aircraft, flight, radar, crew, and weather data in a uniform taxonomy, organized so that queries can be automated by flight, by fleet, or across the airspace system.;2013;Tulinda Larsen;10.1109/ICNSurv.2013.6548579;Conferences;2155-4943;978-1-4673-6252-8
Predictive analytics with aviation big data;"Current archive is 50 billion records and growing - Approximately 34 million elements per day - \textasciitilde 1GB/day; Sheer volume of raw surveillance data makes analytics process very difficult; The raw data runs through a series of processes before it can be used for analytics; Next Steps - Continue application of predictive and prescriptive analytics - Big data visualization.";2013;Paul Comitz;10.1109/ICNSurv.2013.6548645;Conferences;2155-4943;978-1-4673-6252-8
On interference-aware provisioning for cloud-based big data processing;Recent advances in cloud-based big data analysis offers a convenient mean for providing an elastic and cost-efficient exploration of voluminous data sets. Following such a trend, industry leaders as Amazon, Google and IBM deploy various of big data systems on their cloud platforms, aiming to occupy the huge market around the globe. While these cloud systems greatly facilitate the implementation of big data analysis, their real-world applicability remains largely unclear. In this paper, we take the first steps towards a better understanding of the big data system on the cloud platforms. Using the typical MapReduce framework as a case study, we find that its pipeline-based design intergrades the computational-intensive operations (such as mapping/reducing) together with the I/O-intensive operations (such as shuffling). Such computational-intensive and I/O-intensive operations will seriously affect the performance of each other and largely reduces the system efficiency especially on the low-end virtual machines (VMs). To make the matter worse, our measurement also indicates that more than 90 % of the task-lifetime is in the shadow of such interference. This unavoidably reduces the applicability of cloud-based big data processing and makes the overall performance hard to predict. To address this problem, we re-model the resource provisioning problem in the cloud-based big data systems and present an interference-aware solution that smartly allocates the MapReduce jobs to different VMs. Our evaluation result shows that our new model can accurately predict the job completion time across different configurations and significantly improve the user experience for this new generation of data processing service.;2013;Yi Yuan;10.1109/IWQoS.2013.6550282;Conferences;1548-615X;978-1-4799-0588-1
Case of small-data analysis for ion implanters in the era of big-data FDC;This paper presents a case study of constructing process models based on physical mechanisms of semiconductor manufacturing tools in attempts to predict behaviours of process conditions. Actual measurements from the processing tools are always corrupted with noises and crunching huge volumes of temporal traces of status variables very often fail to pinpoint the accurate fault conditions, not to mention any of their efficient classifications, should abnormal conditions really exist. The current fashion of moving into massive big data computing is yet to distill concrete correlations among tool conditions and impacts on process results of semiconductor devices. As an alternative before the foolproof maturity of big data cracking, and in contrast to the conventional black-box approach of statistical regressions, we take a fundamental view in constructing physical model of the ion implantation process for a flywheel implanter, first to calculate the motion trajectories and subsequently, the implantation dosage on the wafer. We summarize the underlying solution techniques in principles and leave the specific details of parameter calibrations to individual field practitioners.;2013;Keung Hui;10.1109/ASMC.2013.6552752;Conferences;2376-6697;978-1-4673-5006-8
Heading towards big data building a better data warehouse for more data, more speed, and more users;As a new company, GLOBALFOUNDRIES is aggressively agile and looking at ways to not just mimic existing semiconductor manufacturing data management but to leverage new technologies and advances in data management without sacrificing performance or scalability. Being a global technology company that relies on the understanding of data, it is important to centralize the visibility and control of this information, bringing it to the engineers and customers as they need it. Currently, the factories are employing the best practices and data architectures combined with business intelligence analysis and reporting tools. However, the expected growth in data over the next several years and the need to deliver more complex data integration for analysis will easily stress the traditional tools beyond the limits of the traditional data infrastructure. The manufacturing systems vendors need to offer new solutions based on Big Data concepts to reach the new level of information processing that work well with other vendor offerings. In this paper, we will show where we are and where we are heading to manage the increasing needs for handling larger amounts of data with faster as well as secure access for more users.;2013;Raymond Gardiner Goss;10.1109/ASMC.2013.6552808;Conferences;2376-6697;978-1-4673-5006-8
A comparative study of enterprise and open source big data analytical tools;In this paper, we bring forward a comparative study between the revolutionary enterprise big data analytical tools and the open source tools for the same. The Transaction Processing Council (TPC) has established a few benchmarks for measuring the potential of software and its use. We use similar benchmarks to study the tools under discussion. We try to cover as many different platforms for big data analytics and compare them based on computing environment, amount of data that can be processed, decision making capabilities, ease of use, energy and time consumed, and the pricing.;2013;Udaigiri Chandrasekhar;10.1109/CICT.2013.6558123;Conferences;;978-1-4673-5757-9
Leveraging Big Data Analytics to Reduce Healthcare Costs;The healthcare sector deals with large volumes of electronic data related to patient services. This article describes two novel applications that leverage big data to detect fraud, abuse, waste, and errors in health insurance claims, thus reducing recurrent losses and facilitating enhanced patient care. The results indicate that claim anomalies detected using these applications help private health insurance funds recover hidden cost overruns that aren't detectable using transaction processing systems. This article is part of a special issue on leveraging big data and business analytics.;2013;Uma Srinivasan;10.1109/MITP.2013.55;Magazines;1941-045X;
Big Data and Transformational Government;The big data phenomenon is growing throughout private and public sector domains. Profit motives make it urgent for companies in the private sector to learn how to leverage big data. However, in the public sector, government services could also be greatly improved through the use of big data. Here, the authors describe some drivers, barriers, and best practices affecting the use of big data and associated analytics in the government domain. They present a model that illustrates how big data can result in transformational government through increased efficiency and effectiveness in the delivery of services. Their empirical basis for this model uses a case vignette from the US Department of Veterans Affairs, while the theoretical basis is a balanced view of big data that takes into account the continuous growth and use of such data. This article is part of a special issue on big data and business analytics.;2013;Rhoda C. Joseph;10.1109/MITP.2013.61;Magazines;1941-045X;
Business Process Analytics Using a Big Data Approach;"Continuous improvement of business processes is a challenging task that requires complex and robust supporting systems. Using advanced analytics methods and emerging technologies--such as business intelligence systems, business activity monitoring, predictive analytics, behavioral pattern recognition, and ""type simulations""--can help business users continuously improve their processes. However, the high volumes of event data produced by the execution of processes during the business lifetime prevent business users from efficiently accessing timely analytics data. This article presents a technological solution using a big data approach to provide business analysts with visibility on distributed process and business performance. The proposed architecture lets users analyze business performance in highly distributed environments with a short time response. This article is part of a special issue on leveraging big data and business analytics.";2013;Alejandro Vera-Baquero;10.1109/MITP.2013.60;Magazines;1941-045X;
Rock Stars of Big Data Advertisement;Rock Stars of Big Data Advertisement;2013;;10.1109/MCG.2013.62;Magazines;1558-1756;
Moving big data to the cloud;Cloud computing, rapidly emerging as a new computation paradigm, provides agile and scalable resource access in a utility-like fashion, especially for the processing of big data. An important open issue here is how to efficiently move the data, from different geographical locations over time, into a cloud for effective processing. The de facto approach of hard drive shipping is not flexible, nor secure. This work studies timely, cost-minimizing upload of massive, dynamically-generated, geodispersed data into the cloud, for processing using a MapReducelike framework. Targeting at a cloud encompassing disparate data centers, we model a cost-minimizing data migration problem, and propose two online algorithms, for optimizing at any given time the choice of the data center for data aggregation and processing, as well as the routes for transmitting data there. The first is an online lazy migration (OLM) algorithm achieving a competitive ratio of as low as 2.55, under typical system settings. The second is a randomized fixed horizon control (RFHC) algorithm achieving a competitive ratio of 1+ 1/l+λ κ/λ with a lookahead window of l, where κ and λ are system parameters of similar magnitude.;2013;Linquan Zhang;10.1109/INFCOM.2013.6566804;Conferences;0743-166X;978-1-4673-5945-0
Comparative performance analysis of a Big Data NORA problem on a variety of architectures;Non Obvious Relationship Analysis (NORA) is one of the most stressing classes of Big Data Analytics problems. This paper proposes a reference NORA problem that is representative of real problems, and can rationally scale to very large sizes. It then develops a highly concurrent implementation that can run on large systems. Each step of this implementation is sized in terms of how much of four different resources (CPU, memory, disk, and network) might be used. From this, a parameterized model projecting both execution time and utilizations is used to identify the “tall poles” in performance. The parameters are then modified to represent several different target systems, from a large cluster typical of today to variations in an advanced architecture where processing has been moved into memory. A “thought experiment” then uses this model to discover the parameters of a system that would provide both a near 100X speedup, but with a balanced design where no resource is badly over or under utilized.;2013;Peter M. Kogge;10.1109/CTS.2013.6567199;Conferences;;978-1-4673-6402-7
Big data, deep data, and the effect of system architectures on performance;"Summary form only given. “Big Data” traditionally refers to some combination of high volume of data, high velocity of change, and/or wide variety and complexity of the underlying data. Solving such problems has evolved into using paradigms like MapReduce on large clusters of compute nodes. More recently, a growing number of “Deep Data” problems have arisen where it is the relationships between objects, and not necessarily the collections of objects, that are important, and for which the traditional implementation techniques are unsatisfactory. This talk addresses a study of a class of such “challenge problems” first formulated by David Bayliss of LexisNexis, and what are their execution characteristics on both current and future architectures. The goal is to discover, to at least a first order approximation, what are the tall poles preventing a speedup of their solution. A variety or architectures are considered, ranging from standard server blades in large scale configurations, to emerging variations that leverage simpler and more energy efficient chip sets, through systems built on 3D chip stacks, and on to new architectures that were designed from the ground up to “follow the links.” Such architectures are considered for two variants of such problems: a traditional partitioned data approach where data is “pre-boiled” to provide fast response, and one that uses very large graphs in very large shared memories. The results are not necessarily intuitive; the bottlenecks in such problems are not where current systems have the bulk of their capabilities or costs, nor where obvious near term upgrades will have major effects. Instead, it appears that only highly scalable memory-intensive architectures offer the potential for truly major gains in application performance.";2013;Peter M. Kogge;10.1109/CTS.2013.6567201;Conferences;;978-1-4673-6402-7
Big data: A review;Big data is a term for massive data sets having large, more varied and complex structure with the difficulties of storing, analyzing and visualizing for further processes or results. The process of research into massive amounts of data to reveal hidden patterns and secret correlations named as big data analytics. These useful informations for companies or organizations with the help of gaining richer and deeper insights and getting an advantage over the competition. For this reason, big data implementations need to be analyzed and executed as accurately as possible. This paper presents an overview of big data's content, scope, samples, methods, advantages and challenges and discusses privacy concern on it.;2013;Seref Sagiroglu;10.1109/CTS.2013.6567202;Conferences;;978-1-4673-6402-7
Addressing big data issues in Scientific Data Infrastructure;Big Data are becoming a new technology focus both in science and in industry. This paper discusses the challenges that are imposed by Big Data on the modern and future Scientific Data Infrastructure (SDI). The paper discusses a nature and definition of Big Data that include such features as Volume, Velocity, Variety, Value and Veracity. The paper refers to different scientific communities to define requirements on data management, access control and security. The paper introduces the Scientific Data Lifecycle Management (SDLM) model that includes all the major stages and reflects specifics in data management in modern e-Science. The paper proposes the SDI generic architecture model that provides a basis for building interoperable data or project centric SDI using modern technologies and best practices. The paper explains how the proposed models SDLM and SDI can be naturally implemented using modern cloud based infrastructure services provisioning model and suggests the major infrastructure components for Big Data.;2013;Yuri Demchenko;10.1109/CTS.2013.6567203;Conferences;;978-1-4673-6402-7
A disk based stream oriented approach for storing big data;This paper proposes an extension to the generally accepted definition of Big Data and from this extended definition proposes a specialized database design for storing high throughput data from low-latency sources. It discusses the challenges a financial company faces with regards to processing and storing data and how existing database technologies are unsuitable for this niche task. A prototype database called CakeDB is built using a stream oriented, disk based storage design and insert throughput tests are conducted to demonstrate how effectively such a design would handle high throughput data as per the use case.;2013;Peter Membrey;10.1109/CTS.2013.6567204;Conferences;;978-1-4673-6402-7
An application-aware approach to systems support for big data [Keynote address];Summary form only given. Everyday 2.5 quintillion (2.5×1018, or 2.5 million trillion) bytes of data are created by people. This data comes from everywhere: from traditional scientific computing and on-line transactions, to popular social network and mobile applications. Data produced in the last two years alone amounts to 90% of the data in the world today! This phenomenal growth and ubiquity of data has ushered in an era of “Big Data”, which brings with it new challenges as well as opportunities. In this talk, I will first discuss big data challenges facing computer and storage systems research, brought on by the huge volume, high velocity, great variety and veracity with which digital data are being produced in the world. I will first introduce some new and ongoing programs at NSF that are relevant to Big Data and to ASAP. I will then present research being conducted in my research group that seeks a scalable systems and application-aware approach to addressing some of the challenges, from the many core and storage architectures to the systems and up to the applications.;2013;Hong Jiang;10.1109/ASAP.2013.6567537;Conferences;1063-6862;978-1-4799-0494-5
From green computing to big-data learning: A kernel learning perspective [Keynote address];Summary form only given. The SVM learning model has been successfully applied to an enormously broad spectrum of application domains and has become a main stream of the modern machine learning technologies. Unfortunately, along with its success and popularity, there also raises a grave concern on it suitability for big data learning applications. For example, in some biomedical applications, the sizes may be hundreds of thousands. In social media application, the sizes could be easily in the order of millions. This curse of dimensionality represents a new challenge calling for new learning paradigm as well as application-specific parallel and distributed hardware and software. This talk will explore cost-effective design on kernel-based machine learning and classification for big data learning applications. It will present a recursive tensor based classification algorithm, especially amenable to systolic/wavefront array processors, which may potentially expedite realtime prediction speed by orders of magnitude. For time-series analysis, with nonstationary environment, it is vital to develop time-adaptive learning algorithms so as to allow incremental and active learning. The talk will tackle the active learning problems from two kernel-induced perspectives, one in intrinsic space and another in empirical space. The talk will show, if time permits, an algorithmic example highlighting the application of Map-Reduce technologies to supervised kernel (Slackmin) learning under a parallel and distributed processing framework.;2013;Sun-Yuan Kung;10.1109/ASAP.2013.6567539;Conferences;1063-6862;978-1-4799-0494-5
Big Data in 10 Years;Summary form only given, as follows. The complete panel presentation was not made available for publication as part of the conference proceedings. There is a lot of excitement about “Big Data” which is at the intersection of the ongoing explosion in data (volumes, variety, and velocity at which it arrives and must be acted upon), the dramatic increase in cost-effective memory capacities, and the maturation of scale-out processing technologies. Huge investments are being made, and there are great expectations for the gains to be had and the range of applications that will be transformed by new data-driven approaches. What does the future hold? Will the changes indeed be transformative, and if so, what will some of the main changes be? What domains are likely to benefit the most? Or is this just a case of unrealistic expectations waiting to be debunked by reality? We will ask panelists drawn from diverse backgrounds to offer their opinions and, hopefully, to get into violent arguments!;2013;Raghu Ramakrishnan;10.1109/IPDPS.2013.124;Conferences;1530-2075;978-0-7695-4971-2
Call for papers special issue of Tsinghua Science and Technology on cloud computing and big data;This special issue on Cloud Computing and Big Data of Tsinghua Science and Technology is devoted to gather and present new research that address the challenges in the broad areas of Cloud Computing and Big Data. Despite being popular topics in both industry and academia, Cloud Computing and Big Data are having more unsolved problems, not fewer. Challenging problems include key enabling technologies like virtualization and software defined network, powerful data process like deep learning and No-SQL, energy efficiency, privacy and policy, new ecosystem and many more. This Special Issue therefore aims to publish high quality, original, unpublished research papers in the broad area of Cloud Computing and Big Data, and thus presents a platform for scientists and scholars to share their observations and research results in the field.;2013;;10.1109/TST.2013.6574681;Journals;1007-0214;
Authorized Public Auditing of Dynamic Big Data Storage on Cloud with Efficient Verifiable Fine-Grained Updates;"Cloud computing opens a new era in IT as it can provide various elastic and scalable IT services in a pay-as-you-go fashion, where its users can reduce the huge capital investments in their own IT infrastructure. In this philosophy, users of cloud storage services no longer physically maintain direct control over their data, which makes data security one of the major concerns of using cloud. Existing research work already allows data integrity to be verified without possession of the actual data file. When the verification is done by a trusted third party, this verification process is also called data auditing, and this third party is called an auditor. However, such schemes in existence suffer from several common drawbacks. First, a necessary authorization/authentication process is missing between the auditor and cloud service provider, i.e., anyone can challenge the cloud service provider for a proof of integrity of certain file, which potentially puts the quality of the so-called ‘auditing-as-a-service’ at risk; Second, although some of the recent work based on BLS signature can already support fully dynamic data updates over fixed-size data blocks, they only support updates with fixed-sized blocks as basic unit, which we call coarse-grained updates. As a result, every small update will cause re-computation and updating of the authenticator for an entire file block, which in turn causes higher storage and communication overheads. In this paper, we provide a formal analysis for possible types of fine-grained data updates and propose a scheme that can fully support authorized auditing and fine-grained update requests. Based on our scheme, we also propose an enhancement that can dramatically reduce communication overheads for verifying small updates. Theoretical analysis and experimental results demonstrate that our scheme can offer not only enhanced security and flexibility, but also significantly lower overhead for big data applications with a large number of frequent small updates, such as applications in social media and business transactions.";2014;Chang Liu;10.1109/TPDS.2013.191;Journals;2161-9883;
Modeling of system of systems via data analytics — Case for “Big Data” in SoS;Large data has been accumulating in all aspects of our lives for quite some time. Advances in sensor technology, the Internet, wireless communication, and inexpensive memory have all contributed to an explosion of “Big Data”. System of Systems (SoS) integrate independently operating, non-homogeneous systems to achieve a higher goal than the sum of the parts. Today's SoS are also contributing to the existence of unmanageable “Big Data”. Recent efforts have developed a promising approach, called “Data Analytics”, which uses statistical and computational intelligence (CI) tools such as principal component analysis (PCA), clustering, fuzzy logic, neuro-computing, evolutionary computation, Bayesian networks, etc. to reduce the size of “Big Data” to a manageable size and apply these tools to a) extract information, b) build a knowledge base using the derived data, and c) eventually develop a non-parametric model for the “Big Data”. This paper attempts to construct a bridge between SoS and Data Analytics to develop reliable models for such systems. A photovoltaic energy forecasting problem of a micro grid SoS will be offered here for a case study of this modeling relation.;2013;Barnabas K. Tannahill;10.1109/SYSoSE.2013.6575263;Conferences;;978-1-4673-5595-7
Scaling challenges of packaging in the Era of Big Data;The exascale computing is required in the Era of Big Data. In order to achieve this demand, new technology innovation must be required and packaging scaling including 3D-IC with TSV (Through Silicon Vias) is one of most promising technology. To increase the total bandwidth, the fine pitch die to die interconnection is necessary. Micro-bumping, thermally enhanced underfill and advanced interposer technologies are one of the key technologies. Material selection for reliable fine-pitch interconnection has become a critical challenge in 3D chip stacking. Underfill material between die to die is also very important to reduce the total packaging stress and to enhance the vertical thermal conductivity. Low CTE high density organic substrate is emerging technology for 2.5D structure.;2013;Yasumitsu Orii;;Conferences;0743-1562;978-1-4673-5226-0
Rock Stars of Big Data Advertisement;Rock Stars of Big Data Advertisement;2013;;10.1109/MC.2013.245;Magazines;1558-0814;
Detecting unfolding crises with Visual Analytics and Conceptual Maps Emerging phenomena and big data;Detecting the emergence of a political crisis is a key goal of security informatics. Big data provides us with valuable information on the many socio-economic indicators of crisis dynamics, ranging from unemployment to the trustworthiness of political institutions. However, it is currently challenging to link information on these factors in order for analysts to assess the possible directions of a conflict. At present, while some solutions offer theoretical frameworks for understanding those indicators in the abstract, these frameworks cannot easily be operationalised to the level needed for automatic processing of big data streams. Alternative solutions do automatically code political events, but only offer a high level picture that cannot support the analysis of deeper conflict processes. In this paper, we combine Visual Analytics with Concept Maps to support analysts in monitoring conflicts. Visual Analytics allows the interactive visual exploration of data, while Concept Maps keep this exploration focused by linking data patterns (e.g., occurrence and frequency of keywords) to underlying dynamics (e.g., coordination of activism, salience of violence). We illustrate the potential of our approach through a discussion of how it could be used to study the on-going Syrian crisis. While this approach still requires validation with analysts, we fully specify the technical structure of our approach and exemplify its use to detect shifts in political stability.;2013;Simon F. Pratt;10.1109/ISI.2013.6578819;Conferences;;978-1-4673-6212-2
Big Data Security Hardening Methodology Using Attributes Relationship;"Recently developments in network, mining and data store technology have heightened the need for big data and big data security. In this paper, we focus on the big data's characteristic which takes seriously the analysis of value than the data itself. We express the relationship between attributes using nodes and edges. Through this, we propose a big data security hardening methodology by selecting ""protect attributes"" from attributes relationship graph.";2013;Sung-Hwan Kim;10.1109/ICISA.2013.6579427;Conferences;2162-9048;978-1-4799-0602-4
Rock Stars of Big Data Advertisement;Rock Stars of Big Data Advertisement;2013;;10.1109/MC.2013.287;Magazines;1558-0814;
Storage Challenge: Where Will All That Big Data Go?;Big data creates numerous exciting possibilities for organizations, but first they must figure out where they're going to store all that information.;2013;Neal Leavitt;10.1109/MC.2013.326;Magazines;1558-0814;
Rock Stars of Big Data Advertisement;Rock Stars of Big Data Advertisement;2013;;10.1109/MC.2013.324;Magazines;1558-0814;
High productivity processing - Engaging in big data around distributed computing;The steadily increasing amounts of scientific data and the analysis of `big data' is a fundamental characteristic in the context of computational simulations that are based on numerical methods or known physical laws. This represents both an opportunity and challenge on different levels for traditional distributed computing approaches, architectures, and infrastructures. On the lowest level data-intensive computing is a challenge since CPU speed has surpassed IO capabilities of HPC resources and on the higher levels complex cross-disciplinary data sharing is envisioned via data infrastructures in order to engage in the fragmented answers to societal challenges. This paper highlights how these levels share the demand for `high productivity processing' of `big data' including the sharing and analysis of `large-scale science data-sets'. The paper will describe approaches such as the high-level European data infrastructure EUDAT as well as low-level requirements arising from HPC simulations used in distributed computing. The paper aims to address the fact that big data analysis methods such as computational steering and visualization, map-reduce, R, and others are around, but a lot of research and evaluations still need to be done to achieve scientific insights with them in the context of traditional distributed computing infrastructures.;2013;Morris Riedel;;Conferences;;978-953-233-076-2
Social-Network-Sourced Big Data Analytics;Very large datasets, also known as big data, originate from many domains. Deriving knowledge is more difficult than ever when we must do it by intricately processing this big data. Leveraging the social network paradigm could enable a level of collaboration to help solve big data processing challenges. Here, the authors explore using personal ad hoc clouds comprising individuals in social networks to address such challenges.;2013;Wei Tan;10.1109/MIC.2013.100;Magazines;1941-0131;
